Country,Year,Rap_Market_Share,Drug_Prevalence_Pct,School_Exclusions,Violent_Crime_Count,events_festivals,fashion_streetwear,language_slang,media_tv,music_drill,Crime_Rate_Eurostat,NEET_Rate,GDP_Per_Capita,Gini_Index
UK,2004,2.5,28.4,46.2,457223.0,0.0,0.5416666666666666,0.0,0.3055555555555555,0.5416666666666666,0.0,5.040000000000001,1.8,31.6
UK,2005,2.5833333333333335,26.625,52.5,514638.0,4.416666666666667,0.4583333333333333,0.0,0.2777777777777778,6.9375,0.0,5.040000000000001,2.2,31.6
UK,2006,2.6666666666666665,24.85,50.62222222222222,493694.0,6.666666666666667,0.2916666666666667,0.0,0.3333333333333333,9.4375,0.0,5.340000000000001,2.0,31.6
UK,2007,2.75,23.075,48.74444444444445,472750.0,5.333333333333333,0.375,2.194444444444444,0.3611111111111111,7.6875,0.0,7.74,1.5,31.6
UK,2008,2.8333333333333335,21.3,46.86666666666667,451806.0,2.6666666666666665,0.2708333333333333,1.5833333333333333,0.3611111111111111,6.8125,0.0,7.859999999999999,-1.1,31.6
UK,2009,2.9166666666666665,20.28,44.98888888888889,423281.75,2.2499999999999996,0.3333333333333333,0.0,0.3333333333333333,5.416666666666667,0.0,8.64,-4.8,31.6
UK,2010,3.0,19.26,43.111111111111114,394757.5,3.777777777777778,0.4375,0.0,0.3333333333333333,5.4375,0.0,8.76,1.3,31.6
UK,2011,3.2,18.240000000000002,41.233333333333334,366233.25,4.472222222222222,0.8541666666666666,0.0,1.0555555555555556,4.666666666666667,0.0,9.24,0.4,31.6
UK,2012,3.4,17.22,39.355555555555554,337709.0,6.75,1.2708333333333333,0.0,0.6666666666666666,3.5833333333333335,0.0,9.16,0.8,31.6
UK,2013,3.6,16.2,37.47777777777778,361218.5,6.222222222222222,1.5208333333333333,0.0,1.5555555555555556,3.1874999999999996,0.0,8.76,1.5,31.6
UK,2014,3.8,16.82,35.6,384728.0,4.916666666666667,1.7291666666666667,0.0,0.7222222222222222,2.7291666666666665,0.0,8.040000000000001,2.1,31.6
UK,2015,4.0,17.44,39.5,408237.5,3.8055555555555554,1.8958333333333333,3.0833333333333335,0.8333333333333334,5.083333333333333,0.0,7.62,1.6,32.4
UK,2016,5.7,18.06,43.6,431747.0,2.5,2.958333333333333,3.611111111111111,0.7777777777777777,6.645833333333333,0.0,7.38,0.9,31.5
UK,2017,7.4,18.68,47.699999999999996,471122.6666666667,2.5277777777777777,4.020833333333333,5.527777777777778,0.75,7.291666666666667,0.0,6.82,1.1,33.1
UK,2018,9.100000000000001,19.3,51.8,510498.3333333333,2.722222222222222,4.770833333333334,6.944444444444443,0.6666666666666666,14.520833333333334,0.0,7.0200000000000005,0.6,33.5
UK,2019,10.8,20.15,51.8,549874.0,2.0833333333333335,5.916666666666666,12.527777777777779,3.861111111111111,11.833333333333332,0.0,6.840000000000001,0.8,33.5
UK,2020,12.2,21.0,51.8,552878.0,0.7777777777777777,7.958333333333334,16.388888888888886,1.638888888888889,9.458333333333332,0.0,6.840000000000001,0.8,33.5
UK,2021,11.9,19.833333333333332,51.8,555882.0,1.6388888888888886,16.604166666666664,23.25,1.5,7.791666666666667,0.0,6.840000000000001,0.8,33.5
UK,2022,12.4,18.666666666666668,51.8,558886.0,3.1666666666666665,30.9375,24.833333333333332,5.222222222222222,7.5625,0.0,6.840000000000001,0.8,33.5
UK,2023,12.4,17.5,51.8,558886.0,1.6666666666666667,26.020833333333332,27.75,5.361111111111111,5.625,0.0,6.840000000000001,0.8,33.5
UK,2024,12.4,16.4,51.8,558886.0,1.3636363636363635,16.863636363636363,28.606060606060606,1.7575757575757576,4.818181818181818,0.0,6.840000000000001,0.8,33.5
France,2004,15.0,52.8,0.0,0.0,0.0,6.958333333333332,0.0,0.22222222222222224,13.458333333333334,316.09599999999995,7.859999999999999,16651.05,29.2
France,2005,17.210526315789473,52.8,0.0,0.0,0.0,4.9375,0.0,0.19444444444444445,18.645833333333332,316.09599999999995,7.919999999999999,16840.55,29.2
France,2006,19.42105263157895,52.8,0.0,0.0,0.05555555555555553,3.5416666666666665,0.0,0.2777777777777778,16.6875,316.09599999999995,7.919999999999999,17181.0,29.2
France,2007,21.63157894736842,52.8,0.0,0.0,0.0833333333333333,3.2083333333333335,0.0,0.3055555555555555,12.9375,316.09599999999995,7.68,17505.95,29.2
France,2008,23.842105263157897,52.8,0.0,0.0,0.27777777777777773,3.3333333333333335,0.0,0.3888888888888889,11.895833333333334,316.09599999999995,7.58,17479.9,29.2
France,2009,26.05263157894737,52.8,0.0,0.0,0.1388888888888889,3.0,0.0,0.3611111111111111,16.479166666666668,444.64,8.8,16898.35,29.2
France,2010,28.263157894736842,52.8,0.0,0.0,0.3611111111111111,2.5416666666666665,0.0,0.4166666666666667,13.145833333333334,377.14,8.879999999999999,17155.75,29.2
France,2011,30.473684210526315,52.8,0.0,0.0,0.5,2.1666666666666665,0.0,0.4166666666666667,10.333333333333334,373.17199999999997,8.8,17496.0,29.2
France,2012,32.684210526315795,52.8,0.0,0.0,0.47222222222222215,2.1458333333333335,1.1388888888888888,0.47222222222222227,8.083333333333334,376.32399999999996,9.059999999999999,17439.85,29.2
France,2013,34.89473684210526,52.8,0.0,0.0,0.3611111111111111,1.9999999999999998,0.0,0.7777777777777777,7.041666666666667,440.9599999999999,8.3,17495.15,29.2
France,2014,37.10526315789474,52.8,0.0,0.0,0.47222222222222215,2.145833333333333,0.0,0.5833333333333334,6.25,452.544,8.459999999999999,17575.25,29.2
France,2015,39.31578947368421,52.8,0.0,0.0,0.47222222222222227,2.9166666666666665,0.0,0.4166666666666667,6.416666666666667,440.622,8.8,17685.3,29.2
France,2016,41.526315789473685,52.8,0.0,0.0,0.3611111111111111,5.541666666666667,0.3888888888888889,0.4166666666666667,6.0625,461.28000000000003,8.6,17770.25,29.3
France,2017,43.736842105263165,52.8,0.0,0.0,0.47222222222222227,4.75,0.0,0.611111111111111,7.208333333333332,460.236,8.3,18070.85,28.8
France,2018,45.94736842105263,52.8,0.0,0.0,1.0555555555555556,4.770833333333333,0.0,0.5277777777777778,5.145833333333333,455.404,8.16,18285.6,28.5
France,2019,48.15789473684211,52.8,0.0,0.0,2.055555555555556,4.520833333333333,0.0,2.9444444444444446,4.4375,461.85800000000006,7.779999999999999,18580.8,29.2
France,2020,50.36842105263158,52.8,0.0,0.0,1.4444444444444446,4.9375,0.0,2.9722222222222228,4.0,381.698,8.4,17136.1,29.2
France,2021,52.578947368421055,52.8,0.0,0.0,0.7777777777777777,8.0,0.0,2.2777777777777777,2.9791666666666665,400.88199999999995,7.659999999999999,18238.2,29.3
France,2022,54.78947368421053,52.8,0.0,0.0,4.333333333333333,22.583333333333332,0.3611111111111111,7.472222222222222,2.7708333333333335,448.166,7.18,18661.15,29.8
France,2023,57.0,52.8,0.0,0.0,8.666666666666666,26.729166666666664,0.2222222222222222,6.5,2.4166666666666665,450.87399999999997,7.38,18880.6,29.7
France,2024,53.0,52.8,0.0,0.0,4.9393939393939394,15.09090909090909,7.8181818181818175,2.4545454545454546,2.1363636363636362,450.87399999999997,7.480000000000001,19055.45,30.0
